#JD Flux Flux_err
2458337.4954 1.0000774 0.00045
2458337.5162 1.0004546 0.00045
2458337.5370 1.0006955 0.00045
2458337.5579 1.0000461 0.00045
2458337.5787 0.99937275 0.00045
2458337.5995 1.0000690 0.00045
2458337.6204 0.99955575 0.00045
2458337.6412 0.99996983 0.00045
2458337.6620 1.0002428 0.00045
2458337.6829 0.99994960 0.00045
2458337.7037 0.99919016 0.00045
2458337.7245 1.0002682 0.00045
2458337.7454 1.0005155 0.00045
2458337.7662 0.99979970 0.00045
2458337.7870 0.99971974 0.00045
2458337.8079 1.0003045 0.00045
2458337.8287 0.99993650 0.00045
2458337.8704 1.0003337 0.00045
2458337.8912 0.99969001 0.00045
2458337.9121 1.0005436 0.00045
2458337.9329 1.0001530 0.00045
2458337.9537 0.99995248 0.00045
2458337.9746 1.0008913 0.00045
2458337.9954 0.99976620 0.00045
2458338.0162 0.99967472 0.00045
2458338.0371 0.99985548 0.00045
2458338.0579 0.99972180 0.00045
2458338.0787 0.99965869 0.00045
2458338.0996 1.0000015 0.00045
2458338.4121 1.0000756 0.00045
2458338.4329 1.0004979 0.00045
2458338.4537 0.99972556 0.00045
2458338.4746 0.99991286 0.00045
2458338.4954 1.0001030 0.00045
2458338.5162 0.99983426 0.00045
2458339.6829 0.99988209 0.00045
2458339.7037 0.99974146 0.00045
2458339.7246 1.0003721 0.00045
2458339.7454 1.0008911 0.00045
2458339.7662 0.99963748 0.00045
2458339.7871 1.0000523 0.00045
2458339.8079 0.99981519 0.00045
2458339.8287 0.99968129 0.00045
2458339.8496 0.99945330 0.00045
2458339.8704 1.0000658 0.00045
2458339.8912 0.99990394 0.00045
2458339.9121 1.0003516 0.00045
2458339.9329 0.99999748 0.00045
2458339.9537 0.99918648 0.00045
2458339.9746 1.0003656 0.00045
2458339.9954 1.0001922 0.00045
2458340.0162 0.99964052 0.00045
2458340.0371 0.99954069 0.00045
2458340.0579 1.0006148 0.00045
2458340.0787 1.0007454 0.00045
2458340.0996 1.0008364 0.00045
2458340.1204 0.99993681 0.00045
2458340.1412 1.0000101 0.00045
2458340.1621 0.99998954 0.00045
2458340.1829 1.0001948 0.00045
2458340.2037 0.99951158 0.00045
2458340.2246 0.99999084 0.00045
2458340.2454 0.99962889 0.00045
2458340.2662 1.0004576 0.00045
2458340.2871 0.99943270 0.00045
2458340.3079 0.99956045 0.00045
2458340.3287 0.99939827 0.00045
2458340.3496 1.0001697 0.00045
2458340.3704 1.0007149 0.00045
2458340.3912 1.0000845 0.00045
2458340.4121 0.99976403 0.00045
2458340.4329 1.0002756 0.00045
2458340.4537 0.99940442 0.00045
2458340.4746 1.0001124 0.00045
2458340.4954 1.0005465 0.00045
2458340.5162 1.0002956 0.00045
2458340.5371 1.0000579 0.00045
2458340.5579 0.99947892 0.00045
2458340.5787 1.0002050 0.00045
2458340.5996 0.99927274 0.00045
2458340.6204 1.0009976 0.00045
2458340.6412 0.99956477 0.00045
2458340.6621 0.99946329 0.00045
2458340.6829 1.0001771 0.00045
2458340.7037 1.0005232 0.00045
2458340.7245 1.0000570 0.00045
2458340.7454 0.99962975 0.00045
2458340.7662 1.0001861 0.00045
2458340.7870 0.99959566 0.00045
2458340.8079 1.0000317 0.00045
2458340.8287 0.99997138 0.00045
2458340.8495 0.99979686 0.00045
2458340.8704 1.0000709 0.00045
2458340.8912 1.0003775 0.00045
2458340.9120 1.0002467 0.00045
2458340.9329 0.99961118 0.00045
2458340.9537 1.0002972 0.00045
2458340.9745 1.0000709 0.00045
2458340.9954 0.99981052 0.00045
2458341.0162 0.99933165 0.00045
2458341.0370 1.0008100 0.00045
2458341.0579 0.99966853 0.00045
2458341.0787 1.0000758 0.00045
2458341.0995 0.99987442 0.00045
2458341.1204 1.0001586 0.00045
2458341.1412 1.0006069 0.00045
2458341.1620 1.0003124 0.00045
2458341.1829 1.0005837 0.00045
2458341.2037 0.99991172 0.00045
2458341.2245 0.99970045 0.00045
2458341.2454 0.99995168 0.00045
2458341.2662 1.0004309 0.00045
2458341.2870 0.99992102 0.00045
2458341.3079 0.99948713 0.00045
2458341.3287 0.99922769 0.00045
2458341.3495 0.99975123 0.00045
